domain,azure_networks_size,azure_network_labels,domain_alexa_rank
pico.com,327680,[],846370.0
globalenglish.com,65536,[],162102.0
asprs.org,65536,[],527470.0
palador.com,65536,['Azure '],605307.0
companycasuals.com,32772,['Azure '],302877.0
nti.nl,32772,['Azure '],402995.0
ncoi.nl,32772,['Azure '],480688.0
sanmar.com,32772,['Azure '],51652.0
whoi.edu,8192,[],31387.0
worldwidegolfshops.com,8192,[],107228.0
eriksbikeshop.com,8192,[],162707.0
royalmail.com,4096,['Azure '],9726.0
hr.nl,2076,"['Azure ', 'Azure AzureFrontDoor']",142331.0
rbkc.gov.uk,2062,"['Azure ', 'Azure AzureFrontDoor']",701389.0
facs.org,2059,"['Azure ', 'Azure AzureFrontDoor']",117232.0
flyfrontier.com,2055,"['Azure ', 'Azure AzureFrontDoor']",10690.0
brotherhoodmutual.com,2055,"['Azure ', 'Azure AzureFrontDoor']",300947.0
smu.edu.sg,2054,"['Azure ', 'Azure AzureFrontDoor']",46610.0
nuance.com,518,['Azure '],44066.0
jamk.fi,512,['Azure Dynamics365ForMarketingEmail'],990168.0
furla.com,512,['Azure Dynamics365ForMarketingEmail'],66587.0
dufry.com,512,['Azure Dynamics365ForMarketingEmail'],329516.0
cityexpress.com,512,"['Azure Dynamics365ForMarketingEmail', 'Azure ']",91831.0
washburn.edu,512,['Azure '],734770.0
vanderlande.com,261,"['Azure Dynamics365ForMarketingEmail', 'Azure ']",225605.0
fsbnh.bank,258,['Azure '],307366.0
lpga.com,256,[],13625.0
dekopasaj.com,256,[],126183.0
education.gov.uk,256,['Azure Dynamics365ForMarketingEmail'],420502.0
ses.com,256,['Azure Dynamics365ForMarketingEmail'],120433.0
inseego.com,256,"['Azure Dynamics365ForMarketingEmail', 'Azure ']",842767.0
baker.edu,256,['Azure '],289176.0
weboost.com,256,[],152233.0
swarovski-professional.com,256,['Azure Dynamics365ForMarketingEmail'],809455.0
brookings.edu,135,['Azure '],24230.0
bestlawyers.com,130,['Azure '],290747.0
jibunbank.co.jp,128,['Azure '],33545.0
fbmta.com,96,[],57151.0
webcollage.net,65,['Azure '],57531.0
travelodge.co.uk,48,['Azure '],25102.0
fxplus.ac.uk,46,['Azure '],507555.0
aircanada.ca,38,['Azure '],43770.0
lta.org.uk,33,['Azure '],61731.0
parliament.scot,33,['Azure '],556152.0
hobbs.co.uk,33,['Azure '],86576.0
appello.co.uk,33,['Azure '],466969.0
park.edu,33,['Azure '],82581.0
efl.com,33,['Azure '],854154.0
derby.ac.uk,33,['Azure '],45829.0
npl.co.uk,33,['Azure '],196364.0
ecotricity.co.uk,33,['Azure '],191751.0
educationdevelopmenttrust.com,33,['Azure '],536324.0
aylesburyvaledc.gov.uk,33,['Azure '],179163.0
caresoftglobal.com,33,['Azure '],535532.0
mmu.ac.uk,33,['Azure '],59737.0
gymshark.com,33,['Azure '],18890.0
lawsociety.org.uk,33,['Azure '],431328.0
bellenglish.com,33,['Azure '],686576.0
hollywoodbowl.co.uk,33,['Azure '],144712.0
ncsgrp.co.uk,33,['Azure '],603985.0
bmstores.co.uk,33,['Azure '],52687.0
pg.com,32,['Azure '],28605.0
kawaius.com,32,[],49440.0
ac-rouen.fr,32,['Azure '],32231.0
evansclarke.com.au,30,"['Azure AzureAppService', 'Azure ']",381897.0
clippers.com,24,['Azure '],141300.0
millenniumhotels.com,22,['Azure '],86068.0
redroof.com,22,['Azure '],163354.0
skyexpress.gr,21,['Azure '],174505.0
plan-uk.org,21,['Azure '],584750.0
hmhco.com,21,['Azure '],108405.0
corinthia.com,21,['Azure '],579883.0
infojobs.com.br,20,['Azure '],11793.0
rugbyrama.fr,20,"['Azure AzureAppService', 'Azure ']",36238.0
ladepeche.fr,20,"['Azure AzureAppService', 'Azure ']",11892.0
drafthouse.com,18,['Azure '],33372.0
wypinnbank.com,18,['Azure '],328166.0
forsakringskassan.se,18,['Azure '],27874.0
vapemate.co.uk,18,['Azure '],164897.0
miracosta.edu,18,[],107188.0
evergent.com,18,['Azure '],121892.0
moffettnathanson.com,18,['Azure '],244225.0
surfacemag.com,18,['Azure '],246856.0
icelolly.com,18,['Azure '],397047.0
streamcreative.com,18,['Azure '],566700.0
solarquotes.com.au,18,['Azure '],60214.0
freestar.io,18,['Azure '],174771.0
yoco.co.za,18,['Azure '],442949.0
thriftytours.co.nz,18,['Azure '],582790.0
ivvy.com.au,18,['Azure '],526427.0
berlinpackaging.com,18,['Azure '],124810.0
pinnbank.com,18,['Azure '],84312.0
rockspotclimbing.com,18,['Azure '],320285.0
tripster.com,18,['Azure '],109426.0
pinnbanktx.com,18,['Azure '],318217.0
propertybrokers.co.nz,18,['Azure '],526514.0
optimalblue.com,17,['Azure '],317132.0
microsoft.com,17,['Azure '],37.0
htallc.com,17,['Azure '],120111.0
westminster.gov.uk,17,"['Azure AzureAppService', 'Azure ']",277532.0
usn.co.za,17,['Azure '],490198.0
ofcom.org.uk,16,['Azure '],90899.0
applytracking.com,16,['Azure '],29681.0
nls.uk,16,[],227280.0
formsimplicity.com,16,[],79038.0
nrmp.org,16,[],163189.0
digiposte.fr,16,['Azure '],37644.0
merchantsfleet.com,16,['Azure '],805807.0
flinders.edu.au,16,[],62961.0
barry.edu,16,[],273907.0
installaware.com,16,['Azure '],712866.0
glendale.edu,16,[],69050.0
jiscmail.ac.uk,16,[],294040.0
awhonn.org,16,[],196714.0
csus.edu,16,[],70253.0
rrca-tx.org,16,['Azure '],216893.0
bigbustours.com,16,['Azure '],38719.0
ascd.org,16,[],20803.0
faimer.org,16,[],578190.0
winshuttle.com,16,['Azure '],614400.0
ecfmg.org,16,[],42756.0
savcps.com,16,['Azure '],415408.0
handelsblatt.com,16,['Azure '],16647.0
publichealthlawcenter.org,16,[],731174.0
renweb.com,16,['Azure '],27323.0
mynslc.com,16,['Azure '],427577.0
canyons.edu,16,[],103766.0
vikingglobal.com,16,['Azure '],188038.0
acm.org,16,[],6664.0
siggraph.org,16,[],581211.0
ecfmgepic.org,16,[],619424.0
aprr.fr,16,['Azure '],117690.0
daltoner.fr,15,['Azure '],888982.0
wiwo.de,15,['Azure '],66341.0
naturalgrocers.com,15,['Azure '],815904.0
revelian.com,15,['Azure '],260495.0
groupama-am.com,15,['Azure '],229370.0
ono.ac.il,15,['Azure '],150298.0
rotkaeppchen.de,15,['Azure '],256230.0
milacron.com,15,['Azure '],997640.0
karriere.de,15,['Azure '],179731.0
ae7.com,15,['Azure '],532679.0
lidl.de,14,['Azure '],3137.0
lidl.fr,14,['Azure '],15143.0
enscape3d.com,14,['Azure '],147491.0
shakeshack.com,14,['Azure '],691896.0
greenwireit.com,14,['Azure '],596998.0
bundaberg.qld.gov.au,14,"['Azure AzureAppService', 'Azure ']",436108.0
lidl.si,14,['Azure '],231159.0
lidl.gr,14,['Azure '],355911.0
lidl.be,14,['Azure '],33512.0
wingd.com,14,['Azure '],227298.0
lidl-voyages.fr,14,['Azure '],166373.0
lidl.cz,14,['Azure '],43053.0
lidl.hu,14,['Azure '],42800.0
lidl.ch,14,['Azure '],118895.0
lidl.lt,14,['Azure '],127176.0
lidl.rs,14,['Azure '],115732.0
pharmalex.com,14,['Azure '],430027.0
fnbimk.com,14,['Azure '],306955.0
lidl.bg,14,['Azure '],86207.0
rcsi.com,14,['Azure '],586210.0
ymca.net,14,['Azure '],253403.0
kofax.com,14,['Azure '],183950.0
lidl.com.cy,14,['Azure '],435352.0
lidl.ro,14,['Azure '],42209.0
neutralposture.com,14,['Azure '],893207.0
gosb.com.tr,14,['Azure '],856119.0
lidl.co.uk,14,['Azure '],30116.0
lidl.ie,14,['Azure '],63825.0
caselapark.com,14,['Azure '],591075.0
lidl.es,14,['Azure '],30107.0
lidl.it,14,['Azure '],31329.0
lidl-hellas.gr,14,['Azure '],17829.0
onthegotours.com,14,['Azure '],169813.0
lidl.fi,14,['Azure '],227699.0
lidl.pl,14,['Azure '],24962.0
psgconsults.com,14,['Azure '],496124.0
libertygfg.com,14,['Azure '],815087.0
lidl.com,14,['Azure '],32834.0
lidl.sk,14,['Azure '],27306.0
fresnostate.edu,14,['Azure '],307289.0
lidl.nl,14,['Azure '],201932.0
shipserv.com,14,['Azure '],394068.0
dyn.com,14,['Azure '],26612.0
rcsi-mub.com,14,['Azure '],635769.0
epromos.com,14,['Azure '],89570.0
acsi.org,14,['Azure '],179965.0
solutionzinc.com,14,['Azure '],182764.0
flyedelweiss.com,14,['Azure '],57376.0
avis.gr,14,['Azure '],474074.0
lidl.at,14,['Azure '],195804.0
lidl.pt,14,['Azure '],87801.0
teambinder.com,14,['Azure '],382617.0
lidl.se,14,['Azure '],182923.0
csufresno.edu,14,['Azure '],812662.0
lidl.dk,14,['Azure '],234994.0
singerco.com.au,14,['Azure '],438698.0
rivervalleybank.com,13,['Azure '],175442.0
hughesfcu.org,13,['Azure '],180819.0
speechmatics.com,13,['Azure '],540481.0
seequent.com,13,['Azure '],438617.0
dickerdata.com.au,13,['Azure '],153187.0
lifevantage.com,13,['Azure '],77693.0
comeet.in,13,['Azure '],717571.0
minderoo.com.au,13,['Azure '],437799.0
radwell.com,13,['Azure '],141621.0
proxibid.com,13,['Azure '],54084.0
evolis.com,13,['Azure '],583909.0
earthday.org,13,['Azure '],172527.0
uitp.org,13,['Azure '],612843.0
expert-security.de,13,['Azure '],334850.0
lsbf.org.uk,13,['Azure '],154190.0
groundtruth.com,13,['Azure '],162822.0
ibc.org,13,['Azure '],48042.0
al-majid.com,13,['Azure '],628582.0
impartner.com,13,['Azure '],310313.0
teserraoutdoors.com,13,['Azure '],899275.0
goodfellow.com,13,['Azure '],784613.0
fgm.ind.br,13,['Azure '],289512.0
perthairport.com.au,13,['Azure '],147744.0
wolfvision.com,13,['Azure '],965223.0
charterhall.com.au,13,['Azure '],436222.0
sfbli.com,13,['Azure '],164090.0
saptco.com.sa,13,['Azure '],50656.0
post.edu,13,['Azure '],318566.0
edgarcayce.org,13,['Azure '],170749.0
givelify.com,13,['Azure '],915845.0
kuwaitairways.com,13,['Azure '],18608.0
alfanar.com,13,['Azure '],694308.0
tisvol.com,13,['Azure '],522350.0
edmonton.ca,13,['Azure '],72266.0
optimove.com,13,['Azure '],191153.0
advocacyaccelerator.org,13,['Azure '],900265.0
udcja.com,13,['Azure '],495194.0
tv5.ca,13,['Azure '],743530.0
fede.education,13,['Azure '],915576.0
doz.pl,13,['Azure '],26220.0
funimation.com,13,['Azure '],3389.0
hardinge.com,13,['Azure '],492117.0
ascona-locarno.com,13,['Azure '],159538.0
coolminiornot.com,13,['Azure '],908688.0
iff.com,13,['Azure '],474815.0
randgroup.com,13,['Azure '],801653.0
capillus.com,13,['Azure '],172868.0
dokay.com.tr,13,['Azure '],709331.0
loandepot.com,13,['Azure '],120128.0
chc.edu.au,13,['Azure '],383622.0
totaltools.com.au,13,['Azure '],126022.0
sandestinrealestate.com,13,['Azure '],216943.0
vigeo-eiris.com,13,['Azure '],659317.0
toysrus.com,13,['Azure '],27117.0
compcom.co.za,13,['Azure '],455187.0
brinksglobal.com,13,['Azure '],445190.0
carloans.com.au,13,['Azure '],350268.0
honestburgers.co.uk,13,['Azure '],275618.0
portwest.com,13,['Azure '],615549.0
fbr.com.au,13,['Azure '],531422.0
spinlife.com,13,['Azure '],322572.0
flstransport.com,13,['Azure '],194496.0
dyedurham.com,13,['Azure '],425880.0
smiledirectclub.com,13,['Azure '],55015.0
da.org.za,13,['Azure '],528187.0
aag.aero,13,['Azure '],727979.0
seloger.com,13,['Azure '],4805.0
olthofhomes.com,13,['Azure '],316913.0
energisa.com.br,13,['Azure '],46653.0
evolveip.net,13,['Azure '],241566.0
bantierra.es,13,['Azure '],178375.0
humentum.org,13,['Azure '],160043.0
ontapcu.org,13,['Azure '],317062.0
valleyfcu.com,13,['Azure '],326477.0
roechling-industrial.com,13,['Azure '],863105.0
sharafdg.com,13,['Azure '],18509.0
boral.com,13,['Azure '],436050.0
heavymontreal.com,13,['Azure '],426520.0
bancamarch.es,13,['Azure '],96786.0
sek.com,13,['Azure '],731438.0
barkmanconcrete.com,13,['Azure '],239686.0
gus.global,13,['Azure '],999816.0
shopwss.com,13,['Azure '],321687.0
sanjose.org,13,['Azure '],320782.0
harmoon.org,13,['Azure '],973107.0
liv.asn.au,13,['Azure '],437576.0
tvone.tv,13,['Azure '],237182.0
uslawshield.com,13,['Azure '],326362.0
firefold.com,13,['Azure '],118680.0
robertwalters.co.nz,13,['Azure '],150822.0
bike-discount.de,13,['Azure '],16411.0
ipmgruppe.de,13,['Azure '],857592.0
islamicbank.com.jo,13,['Azure '],116247.0
nationwidevehiclecontracts.co.uk,13,['Azure '],144668.0
inkadoo.fr,13,['Azure '],183194.0
sudlife.in,13,['Azure '],610419.0
rangmahal.com.sg,13,['Azure '],801655.0
alrajhibank.com.jo,13,['Azure '],516323.0
rss.jo,13,['Azure '],758476.0
magmaweld.com.tr,13,['Azure '],780119.0
compactpowerrents.com,13,['Azure '],66305.0
dealersocket.com,13,['Azure '],36881.0
adama.com,13,['Azure '],623041.0
harvestinc.com,13,['Azure '],308919.0
afrihost.com,13,['Azure '],22300.0
mcsonj.org,13,['Azure '],243970.0
stingray.com,13,['Azure '],358945.0
southwire.com,13,['Azure '],805351.0
nova.cz,13,['Azure '],25493.0
emiratessteel.com,13,['Azure '],410409.0
pepco.cz,13,['Azure '],281904.0
mepspay.com,13,['Azure '],973333.0
intercars.com.pl,13,['Azure '],399304.0
henriquezpartners.com,13,['Azure '],426530.0
afc.com.au,13,['Azure '],204521.0
alpenverein.de,13,['Azure '],333167.0
roverradio.com,13,['Azure '],320400.0
naturalforce.com,13,['Azure '],268010.0
fih.ch,13,['Azure '],711409.0
lsbf.edu.sg,13,['Azure '],386166.0
rcpets.com,13,['Azure '],724138.0
starkbros.com,13,['Azure '],110856.0
greyhound.com.au,13,['Azure '],264617.0
bergzeit.de,13,['Azure '],119084.0
robertwalters.com.au,13,['Azure '],295292.0
ocar.org,13,['Azure '],316747.0
foxcu.org,13,['Azure '],307112.0
dialanerd.co.za,13,['Azure '],455202.0
godiva.com,13,['Azure '],137371.0
jobtarget.com,13,['Azure '],110801.0
la-z-boy.com,13,['Azure '],34606.0
onepointtech.com,13,['Azure '],216411.0
skincancer.org,13,['Azure '],102516.0
noonan.ie,13,['Azure '],153313.0
kan-therm.com,13,['Azure '],183402.0
regus.com,13,['Azure '],74453.0
grainfather.com,13,['Azure '],211277.0
karlmertz.dk,13,['Azure '],290414.0
pimcore.com,13,['Azure '],663114.0
citedesarts.re,13,['Azure '],639993.0
bastrucks.com,13,['Azure '],169211.0
panekcs.pl,13,['Azure '],400161.0
brownsshoes.com,13,['Azure '],45937.0
jollytur.com,13,['Azure '],28998.0
gastro-cool.de,13,['Azure '],134552.0
cbhs.com.au,13,['Azure '],188705.0
phillipsconsulting.net,13,['Azure '],550513.0
creditcanada.com,13,['Azure '],329702.0
gisma.com,13,['Azure '],108271.0
tmb.com,13,['Azure '],669529.0
captrader.com,13,['Azure '],255158.0
3dcarbon.com,13,['Azure '],213404.0
calbaptist.edu,13,['Azure '],86792.0
lundingold.com,13,['Azure '],775855.0
highviewfin.com,13,['Azure '],597742.0
guggenheim-bilbao.eus,13,['Azure '],814092.0
vkp.ua,13,['Azure '],974315.0
maruccisports.com,13,['Azure '],161526.0
tormach.com,13,['Azure '],325342.0
arcovara.ee,13,['Azure '],825597.0
brentwoodtn.gov,13,['Azure '],213979.0
lions.com.au,13,['Azure '],437570.0
dso.ae,13,['Azure '],282580.0
globalgrind.com,13,['Azure '],242200.0
polo-motorrad.de,13,['Azure '],41200.0
ieagreements.org,13,['Azure '],100123.0
idtechex.com,13,['Azure '],573983.0
adform.com,13,['Azure '],441649.0
evenko.ca,13,['Azure '],133972.0
iaasb.org,13,['Azure '],799021.0
rokarestaurant.com,13,['Azure '],276766.0
globalspec.com,13,['Azure '],18440.0
softsurroundings.com,13,['Azure '],66114.0
echologics.com,13,['Azure '],813093.0
tibagroup.com,13,['Azure '],410339.0
schulz-aktiv-reisen.de,13,['Azure '],338332.0
fisherpaykel.com,13,['Azure '],289490.0
cca.qc.ca,13,['Azure '],787831.0
unionbanknc.com,13,['Azure '],612944.0
rcsi.ie,13,['Azure '],174129.0
arabtecholding.com,13,['Azure '],697980.0
amerikanhastanesi.org,13,['Azure '],777688.0
mogo.ca,13,['Azure '],346727.0
fyzical.com,13,['Azure '],307495.0
cna-aiic.ca,13,['Azure '],848161.0
skoda.lv,13,['Azure '],878367.0
captainds.com,13,['Azure '],240268.0
